No,Platform,Unit,Channel,Status,Year,Month,Videos Published,Lifetime Subscriber/Followers,New Subscribers/Followers,Views (Cumulative), Revenue (USD), Revenue (IDR),Impressions,Reach,Engagement,"View
Male (%)","View
Female (%)","View
Other (%)",13 - 17 Years,18 - 24 Years,25 - 34 Years,35 - 44 Years,45 - 54 Years,55 - 64 Years,65+ Years,Notes Demografi
961,Facebook,IDX Channel,IDX CHANNEL,Active,2024,January,"1,221","172,981",766,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
962,Facebook,IDX Channel,IDX CHANNEL,Active,2024,February,"1,293","173,137",156,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
963,Facebook,IDX Channel,IDX CHANNEL,Active,2024,March,"1,721","173,289",152,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
964,Facebook,IDX Channel,IDX CHANNEL,Active,2024,April,"2,122","173,666",377,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
965,Facebook,IDX Channel,IDX CHANNEL,Active,2024,May,"2,310","174,884","1,218",data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
966,Facebook,IDX Channel,IDX CHANNEL,Active,2024,June,"1,857","175,125",241,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
967,Facebook,IDX Channel,IDX CHANNEL,Active,2024,July,"1,981","175,624",499,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
968,Facebook,IDX Channel,IDX CHANNEL,Active,2024,August,"1,804","175,804",180,data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
969,Facebook,IDX Channel,IDX CHANNEL,Active,2024,September,"1,917","177,598","1,794",data tidak keluar,  -   ,  -   ,,,,,,,,,,,,,,
970,Facebook,IDX Channel,IDX CHANNEL,Active,2024,October,"2,380","179,118","1,520","9,393,996",  -   ,  -   ,,,,,,,,,,,,,,
971,Facebook,IDX Channel,IDX CHANNEL,Active,2024,November,"3,451","179,713",595,"2,080,946",  -   ,  -   ,,,,,,,,,,,,,,
972,Facebook,IDX Channel,IDX CHANNEL,Active,2024,December,"3,001","181,212","1,499","6,350,289",  -   ,  -   ,,,,,,,,,,,,,,
973,Facebook,IDX Channel,IDX CHANNEL,Active,2025,January,"2,537","181,795",583,"2,921,277",  -   ,  -   ,,"1,528,446.00","37,541",,,,,,,,,,,
974,Facebook,IDX Channel,IDX CHANNEL,Active,2025,February,"2,134","184,792","2,997","4,058,525",  -   ,  -   ,,"1,929,900.00","69,048",,,,,,,,,,,
975,Facebook,IDX Channel,IDX CHANNEL,Active,2025,March,"2,179","185,529",737,"2,485,021",  -   ,  -   ,,"934,907.00","19,729",,,,,,,,,,,
976,Facebook,IDX Channel,IDX CHANNEL,Active,2025,April,356,"185,646",117,"213,227",  -   ,  -   ,,"48,431.00","3,443",,,,,,,,,,,
977,Facebook,IDX Channel,IDX CHANNEL,Active,2025,May,559,"185,781",135,"269,578",  -   ,  -   ,,"57,035.00","3,957",,,,,,,,,,,
978,Facebook,IDX Channel,IDX CHANNEL,Active,2025,June,165,"188,444","2,663","8,649,165",  -   ,  -   ,,"3,898,013.00","59,536",,,,,,,,,,,
979,Facebook,IDX Channel,IDX CHANNEL,Active,2025,July,228,"190,927","2,730","8,910,633",  -   ,  -   ,,"4,096,097","32,554",70.70%,29.30%,,-,9.10%,35.60%,30.50%,16.00%,5.10%,3.70%,Demografi by Followers
980,Facebook,IDX Channel,IDX CHANNEL,Active,2025,August,200,"192,986","2,338","9,749,165",  1 ,"  17,000 ",,"3,870,767","41,290",70.90%,29.10%,,,8.70%,35.90%,30.50%,16.10%,5.10%,3.70%,Demografi by Followers
981,Facebook,IDX Channel,IDX CHANNEL,Active,2025,September,120,"193,717","1,290","4,253,636",  1 ,"  17,000 ",,"1,716,783","18,480",71.00%,29.00%,,,8.30%,36.10%,30.60%,16.10%,5.20%,3.70%,Demografi by Followers
