,,,,GOOGLE ANALYTIC,,,,,,Traffic Apps (UV),,Source Traffic,,,,,
No,Portal,Year,Month,Post,Total Visits,Unique Visitors,Page Views,Session Duration,Bounce Rate,Android,IOS,Direct,Organic Search,Organic Social,Referral,Unassigned,Discover
1,iNews.id,2025,January,"5,246","10,507,986","8,287,460","15,833,974",,,"4,852",979,,,,,,
2,iNews.id,2025,February,"4,711","8,964,911","7,070,528","13,635,572",,,"4,176","1,015",,,,,,
3,iNews.id,2025,March,"5,190","8,855,356","6,365,918","12,829,722",,,"4,952","1,067",,,,,,
4,iNews.id,2025,April,"4,422","7,048,141","5,261,974","10,560,738",,,"4,152",832,,,,,,
5,iNews.id,2025,May,"5,454","8,494,196","6,047,461","14,410,556",,,"4,178",606,,,,,,
6,iNews.id,2025,June,"6,873","8,215,577","5,655,341","13,200,549",,,"5,274",864,,,,,,
7,iNews.id,2025,July,"7,485","7,475,480","5,162,918","16,093,530",,,"3,843",704,,,,,,
8,iNews.id,2025,August,"7,020","6,500,553","4,900,914","10,776,113",,,"3,835",821,,,,,,
9,iNews.id,2025,September,"7,285","5,918,311","4,587,776","8,836,969",,,"4,092",914,,,,,,
10,iNews.id,2025,October,"7,249","5,317,859","4,279,207","7,699,058",,,"3,786",812,,,,,,
11,iNews.id,2025,November,"7,069","4,869,264","4,056,922","7,164,240",,,"3,381",742,,,,,,
12,iNews.id,2025,December,"6,838","4,940,170","4,022,634","7,059,706",,,"3,616",757,,,,,,
13,iNews.id,2026,January,"6,118","4,772,679","3,573,961","7,340,410",12:02:15 AM,66%,"3,337",711,"923,186","2,034,151","228,506","90,936","156,863","337,019"
14,iNews.id,2026,February,"5,959","4,198,999","3,449,090","6,124,612",12:02:04 AM,72%,"3,120",708,"980,465","1,806,310","269,784","74,427","120,706","155,093"
15,iNews.id,2026,March,"5,805","3,963,848","3,136,052","5,734,773",12:01:54 AM,74%,"3,339",720,"1,054,807","1,444,099","343,004","90,769","118,826","107,617"
16,iNews.id,2026,April,"6,119","3,638,962","2,817,503","5,482,133",12:02:11 AM,70%,"3,150",637,"857,454","1,323,073","318,883","85,665","103,973","173,575"
17,iNews.id,2026,May,"6,093","3,511,333","2,812,834","5,346,647",12:02:00 AM,72%,"3,099",643,"1,063,483","1,212,433","229,615","73,288","90,903","165,218"
18,iNews.id,2026,June,,,,,,,,,,,,,,
19,iNews.id,2026,July,,,,,,,,,,,,,,
20,iNews.id,2026,August,,,,,,,,,,,,,,
21,iNews.id,2026,September,,,,,,,,,,,,,,
22,iNews.id,2026,October,,,,,,,,,,,,,,
23,iNews.id,2026,November,,,,,,,,,,,,,,
24,iNews.id,2026,December,,,,,,,,,,,,,,
25,Sindonews.com,2025,January,"6,464","30,546,760","14,153,206","51,989,981",,,"8,930",471,,,,,,
26,Sindonews.com,2025,February,"6,279","25,797,705","12,533,213","43,792,697",,,"8,464",514,,,,,,
27,Sindonews.com,2025,March,"6,973","27,973,608","12,688,863","51,025,267",,,"8,444",466,,,,,,
28,Sindonews.com,2025,April,"5,694","24,328,970","10,764,669","42,413,612",,,"8,265",529,,,,,,
29,Sindonews.com,2025,May,"6,218","26,181,448","10,486,668","49,457,262",,,"8,030",460,,,,,,
30,Sindonews.com,2025,June,"6,203","31,567,674","11,292,729","64,264,699",,,"8,529",484,,,,,,
31,Sindonews.com,2025,July,"6,778","20,512,476","9,187,749","37,347,085",,,"8,350",437,,,,,,
32,Sindonews.com,2025,August,"6,741","20,087,993","9,355,125","36,467,989",,,"8,598",526,,,,,,
33,Sindonews.com,2025,September,"6,524","17,107,817","8,210,566","29,789,370",,,"8,275",487,,,,,,
34,Sindonews.com,2025,October,"5,943","17,891,635","8,624,447","30,712,332",,,"7,856",476,,,,,,
35,Sindonews.com,2025,November,"5,645","15,847,459","7,695,288","24,445,544",,,"7,731",415,,,,,,
36,Sindonews.com,2025,December,"5,883","16,111,900","8,132,624","25,884,972",,,"7,279",397,,,,,,
37,Sindonews.com,2026,January,"5,089","22,011,016","9,432,683","35,187,091",12:02:23 AM,51%,"7,465",403,"3,998,081","5,403,333","88,438","134,927","127,455","2,399,495"
38,Sindonews.com,2026,February,"4,900","21,345,113","9,212,982","33,642,838",12:02:29 AM,53%,"7,693",414,"3,631,319","5,365,471","90,071","153,776","193,872","2,159,595"
39,Sindonews.com,2026,March,"4,975","23,931,395","9,627,082","37,782,190",12:02:18 AM,54%,"7,829",451,"3,923,668","5,405,971","94,333","173,305","177,390","2,324,923"
40,Sindonews.com,2026,April,"5,468","21,466,008","8,160,013","32,609,739",12:02:18 AM,56%,"7,362",405,"3,481,842","4,531,187","92,411","162,124","215,067","2,259,902"
41,Sindonews.com,2026,May,"5,741","19,541,899","8,803,078","30,223,372",12:02:20 AM,56%,"7,186",438,"4,541,441","4,073,152","79,500","142,020","166,789","1,852,783"
42,Sindonews.com,2026,June,,,,,,,,,,,,,,
43,Sindonews.com,2026,July,,,,,,,,,,,,,,
44,Sindonews.com,2026,August,,,,,,,,,,,,,,
45,Sindonews.com,2026,September,,,,,,,,,,,,,,
46,Sindonews.com,2026,October,,,,,,,,,,,,,,
47,Sindonews.com,2026,November,,,,,,,,,,,,,,
48,Sindonews.com,2026,December,,,,,,,,,,,,,,
49,Okezone.com,2025,January,"9,606","20,484,202","12,612,459","27,975,585",,,"3,125",884,,,,,,
50,Okezone.com,2025,February,"8,986","19,350,924","10,537,888","28,033,955",,,"2,971",858,,,,,,
51,Okezone.com,2025,March,"9,588","23,972,417","11,419,638","36,219,136",,,"3,540",938,,,,,,
52,Okezone.com,2025,April,"7,851","26,667,601","12,625,606","38,876,414",,,"3,340",930,,,,,,
53,Okezone.com,2025,May,"8,592","13,452,492","8,065,605","21,034,724",,,"3,119",875,,,,,,
54,Okezone.com,2025,June,"7,987","14,613,147","8,673,008","21,963,081",,,"3,110",838,,,,,,
55,Okezone.com,2025,July,"8,000","12,878,534","7,251,136","22,703,922",,,"3,392",809,,,,,,
56,Okezone.com,2025,August,"7,583","12,090,110","6,253,228","19,285,569",,,"2,940",861,,,,,,
57,Okezone.com,2025,September,"7,120","10,857,770","6,129,659","16,555,444",,,"3,044",771,,,,,,
58,Okezone.com,2025,October,"7,165","11,571,750","6,781,740","17,655,114",,,"2,470",703,,,,,,
59,Okezone.com,2025,November,"6,539","10,751,468","6,939,035","16,107,005",,,"2,417",712,,,,,,
60,Okezone.com,2025,December,"6,152","9,805,921","6,184,539","14,149,225",,,"2,220",676,,,,,,
61,Okezone.com,2026,January,"6,049","9,692,103","6,048,237","14,482,332",12:01:24 AM,57%,"2,322",664,"2,953,905","2,415,867","109,697","126,939","312,578","1,455,699"
62,Okezone.com,2026,February,"5,584","7,829,769","5,319,090","10,951,448",12:01:18 AM,61%,"2,075",632,"2,696,091","1,960,762","140,064","87,684","335,258","1,034,664"
63,Okezone.com,2026,March,"5,728","6,753,040","4,146,370","9,455,305",12:01:25 AM,62%,"2,342",682,"2,256,365","1,445,002","81,921","88,903","233,674","881,517"
64,Okezone.com,2026,April,"5,983","8,848,711","5,549,582","13,424,954",12:01:30 AM,59%,"2,247",625,"2,996,511","2,109,850","112,239","113,032","265,712","1,483,522"
65,Okezone.com,2026,May,"6,220","9,858,555","6,724,181","13,112,953",12:01:19 AM,72%,2131,607,"4,162,973","2,091,720","62,907","99,071","271,975","902,874"
66,Okezone.com,2026,June,,,,,,,,,,,,,,
67,Okezone.com,2026,July,,,,,,,,,,,,,,
68,Okezone.com,2026,August,,,,,,,,,,,,,,
