No,Unit,Channel,Year,Month,Views Cummulative,Engaged views,Watch time (hours),Subscribers,Average view duration,Average percentage viewed (%),Videos published,Impressions,Impressions click-through rate (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Subscribers gained,Subscribers lost,Likes,Dislikes,Shares,Comments added,Revenue Cummulative (IDR),Transaction revenue (IDR),Transactions,YouTube Premium (IDR),Watch Page ads (IDR),YouTube ad revenue (IDR),Ad impressions,CPM (IDR),Estimated monetized playbacks,RPM (IDR),Product clicks,Product impressions,Total sales (IDR),Orders,YouTube Premium views,YouTube Premium watch time (hours),Hours streamed,Reminders set,Chat messages,Reactions,Remix count,Remix views,Community clip views,Watch time from community clips (hours),Card clicks,Cards shown,End screen element clicks,End screen elements shown, Total members, Active members, Members gained, Members lost, Canceled memberships, Exit surveys, Average membership tenure (days), Churn rate (%),Lifetime Subscriber/Followers,New Subscribers/Followers,Views Fresh Content, Revenue Fresh Content (IDR), Revenue Fresh Content (USD),"View
 Male (%)","View
 Female (%)","View
 Other (%)",13 - 17 Years,18 - 24 Years,25 - 34 Years,35 - 44 Years,45 - 54 Years,55 - 64 Years,65+ Years
1,IDX Channel,IDX Channel,2024,January,"5,011,740","5,011,740","108,236","16,364",00:01:17,37,"1,088","49,441,107",8,"3,232,830","1,713,656","1,519,174","1,519,174",0,"20,087","3,723","61,405","2,508","12,681","8,484","11,797,500",,,,,,,,,,0,0,,,"84,675","4,010",747,82,237,"1,518",8,"16,062",0,0,0,0,202,"21,519",,,,,,,,,"854,727","16,364","1,836,308","  5,763,000 ",  339 ,,,,,,,,,,
2,IDX Channel,IDX Channel,2024,February,"3,767,874","3,767,874","88,900","9,702",00:01:24,6,906,"39,770,997",7,"2,515,578","1,222,345","1,301,106","1,301,106",0,"12,298","2,596","30,249","1,101","11,432","7,962","11,220,000",,,,,,,,,,0,0,,,"64,700","2,926",544,51,186,902,1,727,0,0,0,0,99,"11,784",,,,,,,,,"864,429","9,702","1,454,779","  5,559,000 ",  327 ,,,,,,,,,,
3,IDX Channel,IDX Channel,2024,March,"2,977,528","2,977,528","66,658","6,235",00:01:20,42,941,"29,722,042",6,"2,014,308","994,863","1,019,445","1,019,445",0,"8,709","2,474","22,011",757,"9,188","4,724","9,949,500",,,,,,,,,,0,0,,,"52,194","2,422",743,-2,148,"1,017",1,"9,365",0,0,0,0,61,"14,958",,,,,,,,,"870,664","6,235","1,250,223","  4,369,000 ",  257 ,,,,,,,,,,
4,IDX Channel,IDX Channel,2024,April,"3,048,893","3,048,893","66,102","7,761",00:01:18,38,843,"29,560,038",7,"2,177,165","1,092,666","1,084,499","1,084,499",0,"10,174","2,413","25,293","1,010","8,695","7,302","9,735,000",,,,,,,,,,0,0,,,"68,183","2,594",720,0,225,760,,489,0,0,0,0,66,"9,920",,,,,,,,,"878,425","7,761","1,677,018","  5,423,000 ",  319 ,,,,,,,,,,
5,IDX Channel,IDX Channel,2024,May,"3,270,360","3,270,360","88,948","8,980",00:01:37,37,883,"34,548,713",7,"2,187,771","1,075,930","1,111,841","1,111,841",0,"11,817","2,837","28,064",983,"10,256","7,662","11,121,000",,,,,,,,,,0,0,,,"74,861","4,208",744,0,244,"2,254",2,"2,294",0,0,0,0,66,"11,459",,,,,,,,,"887,405","8,980","1,207,281","  4,998,000 ",  294 ,,,,,,,,,,
6,IDX Channel,IDX Channel,2024,June,"2,484,009","2,484,009","71,808","6,175",00:01:44,14,952,"27,161,937",6,"1,644,656","807,261","837,395","837,395",0,"8,913","2,738","20,933","1,024","8,315","6,808","8,877,000",,,,,,,,,,0,0,,,"54,389","3,485",682,0,866,"2,875",8,"14,681",0,0,0,0,74,"13,038",,,,,,,,,"893,580","6,175","1,008,848","  5,168,000 ",  304 ,,,,,,,,,,
7,IDX Channel,IDX Channel,2024,July,"3,265,561","3,265,561","87,742","8,351",00:01:36,12,"1,201","34,736,312",7,"2,105,515","989,694","1,115,821","1,115,821",0,"11,274","2,923","28,795","1,162","9,964","8,778","10,131,000",,,,,,,,,,0,0,,,"72,639","3,786",718,0,249,794,2,"11,640",0,0,0,80,81,"11,557",,,,,,,,,"901,931","8,351","1,897,686","  7,293,000 ",  429 ,,,,,,,,,,
8,IDX Channel,IDX Channel,2024,August,"3,314,205","3,314,205","83,763","7,680",00:01:30,46,970,"36,865,252",7,"2,160,620","991,584","1,169,036","1,169,036",0,"10,600","2,920","26,267","1,033","9,844","9,856","10,048,500",,,,,,,,,,0,0,,,"77,940","3,529",744,0,271,"1,219",3,"51,141",0,0,0,137,72,"10,810",,,,,,,,,"909,611","7,680","1,529,848","  6,035,000 ",  355 ,,,,,,,,,,
9,IDX Channel,IDX Channel,2024,September,"3,069,674","3,069,674","83,887","8,241",00:01:38,11,975,"35,451,478",7,"1,938,886","866,786","1,072,100","1,072,100",0,"10,900","2,659","27,408","1,052","9,506","8,887","10,197,000",,,,,,,,,,0,0,,,"74,796","3,925",690,0,220,"1,274",5,"13,716",0,0,2,455,116,"12,857",,,,,,,,,"917,852","8,241","1,547,474","  7,514,000 ",  442 ,,,,,,,,,,
10,IDX Channel,IDX Channel,2024,October,"3,695,397","3,695,397","102,373","9,123",00:01:39,7,"1,182","43,239,009",6,"2,388,224","1,139,187","1,249,037","1,249,037",0,"12,495","3,372","33,548","1,681","10,369","8,940","24,453,000",,,,,,,,,,0,0,,,"75,508","4,391",712,25,718,572,9,"59,381",0,0,1,192,83,"8,729",,,,,,,,,"926,975","9,123","2,010,003","  7,939,000 ",  467 ,,,,,,,,,,
11,IDX Channel,IDX Channel,2024,November,"1,233,699","1,233,699","32,818","2,379",00:01:35,22,426,"14,749,326",6,"908,396","426,910","481,486","481,486",0,"4,509","2,130","10,859",585,"3,852","3,365","198,000",,,,,,,,,,0,0,,,"26,520","1,358",282,0,142,260,2,"141,605",0,0,0,42,32,"4,390",,,,,,,,,"929,354","2,379","497,334","  136,000 ",  8 ,,,,,,,,,,
12,IDX Channel,IDX Channel,2024,December,"2,291,720","2,291,720","100,491","6,724",00:02:37,33,769,"26,739,600",7,"1,602,993","753,822","849,171","849,171",0,"9,060","2,336","18,024",846,"6,907","5,966","9,306,000",,,,,,,,,,0,0,,,"49,815","3,719",744,0,814,"1,885",3,"148,805",0,0,2,94,56,"5,023",,,,,,,,,"936,078","6,724","1,067,325","  7,327,000 ",  431 ,,,,,,,,,,
13,IDX Channel,IDX Channel,2025,January,"2,767,543","2,767,543","97,726","7,575",00:02:07,6,744,"32,747,422",6,"1,730,462","795,575","934,887","934,887",0,"9,952","2,377","23,875",835,"11,325","7,725","8,167,500",,,,,,,,,,0,0,,,"61,593","4,274",717,25,752,"1,576",1,"138,419",0,0,0,64,33,"3,814",,,,,,,,,"943,653","7,575","1,677,509","  6,843,520 ",  403 ,,,,,,,,,,
14,IDX Channel,IDX Channel,2025,February,"2,490,316","2,490,316","106,699","7,564",00:02:34,15,732,"28,934,433",6,"1,521,346","697,750","823,596","823,596",0,"9,076","1,512","21,384",671,"8,288","8,038","9,471,000",,,,,,,,,,0,0,,,"68,658","5,234",668,-1,359,534,5,"17,422",0,0,0,77,17,"2,882",,,,,,,,,"951,217","7,564","1,284,037","  7,400,780 ",  435 ,,,,,,,,,,
